Order Number,Customer Number,Region,Item Number,Item Description LOOKUP,Backlog Quantity,Backlog USD,Order Date,Salesperson Code,Intercompany
O15767,C08868,EMEA,I350330,Oven #2,1,$933.60,7/26/2023,S31,Intercompany
O15767,C08868,EMEA,I350002,Masonry oven #1,1,$245.12,7/26/2023,S31,Intercompany
O15767,C08868,EMEA,I350340,Panini sandwich grill #1,4,$137.88,7/26/2023,S31,Intercompany
O15767,C08868,EMEA,I350330,Oven #2,1,$110.63,7/26/2023,S31,Intercompany
O15795,C06961,LATAM,I240610,Roasting jack #3,10,$112.08,9/16/2023,S50,Not IC
O15795,C06961,LATAM,I260258,Sous-vide cooker #1,2,$76.64,9/16/2023,S50,Not IC
O15803,C05902,LATAM,I950617,Hot plate #3,3,$476.01,4/16/2023,S50,Not IC
O15803,C05902,LATAM,I950617,Hot plate #3,2,$324.63,4/16/2023,S50,Not IC
O15803,C05902,LATAM,I920160,Convection microwave #3,3,$120.31,4/16/2023,S50,Not IC
O15829,C04769,APAC,I960000,Instant Pot #1,1,$163.68,8/8/2022,S60,Not IC
O15843,C08895,EMEA,I246000,Russian oven #1,1,$352.82,2/26/2021,S77,Intercompany
O15915,C07030,EMEA,I246000,Russian oven #1,1,$352.82,12/29/2022,S27,Intercompany
O15963,C08894,EMEA,I246000,Russian oven #1,2,$906.50,8/24/2022,S77,Intercompany
O15963,C08894,EMEA,I246000,Russian oven #1,2,$260.22,8/24/2022,S77,Intercompany
O16179,C08785,N. America,I539617,Vacuum fryer #2,1,$172.84,12/1/2022,S10,Not IC
O16179,C08785,N. America,I539617,Vacuum fryer #2,1,$156.60,12/1/2022,S10,Not IC
O16179,C08785,N. America,I539617,Vacuum fryer #2,1,$154.58,12/1/2022,S10,Not IC
O16179,C08785,N. America,I539617,Vacuum fryer #2,1,$141.54,12/1/2022,S10,Not IC
O16867,C04811,N. America,I539617,Vacuum fryer #2,1,$118.93,4/13/2022,S05,Not IC
O17139,C07337,N. America,IDENSIT,Panini sandwich grill #3,3,$135.93,11/24/2022,S05,Not IC
O17595,C04758,LATAM,I302336,Flattop grill #1,1,$451.42,7/7/2023,S08,Not IC
O17595,C04758,LATAM,I302336,Flattop grill #1,1,$284.89,7/7/2023,S08,Not IC
O17595,C04758,LATAM,I302336,Flattop grill #1,1,$284.89,7/7/2023,S08,Not IC
O17595,C04758,LATAM,I302336,Flattop grill #1,1,$277.81,7/7/2023,S08,Not IC
O17595,C04758,LATAM,I302336,Flattop grill #1,1,$240.25,7/7/2023,S08,Not IC
O17595,C04758,LATAM,I303000,Halogen oven #1,1,$122.13,7/7/2023,S08,Not IC
O17731,C06291,LATAM,I950617,Hot plate #3,2,$325.24,2/10/2022,S29,Not IC
O20051,C04226,LATAM,I942330,Espresso machine #1,1,$144.77,10/1/2022,S67,Not IC
O21387,C04000,EMEA,I242501,Rotisserie #3,1,$342.56,10/4/2022,S30,Intercompany
O21387,C04000,EMEA,I202330,Hibachi #3,1,$225.94,10/4/2022,S30,Intercompany
O21577,C06235,N. America,I539617,Vacuum fryer #2,2,$436.40,10/6/2022,S05,Not IC
