Order-Line2,Invoiced Qty
O-01882-1,1
O-01882-2,1
O-01882-3,1
O-01882-4,2
O-01882-5,1
O-01882-6,1
O-01883-2,1
O-01884-2,1
O-01886-10004,1
O-01886-4,1
O-01887-1,1
O-01889-3,1
O-01889-4,1
O-01890-10002,1
O-01890-2,1
O-01893-2,1
O-01896-1,1
O-01896-10004,1
O-01896-2,1
O-01896-20004,1
O-01896-3,1
O-01896-30004,1
O-01896-4,1
O-01898-2,1
O-01899-2,1
O-01900-1,1
O-01900-10001,1
O-01903-1,1
O-01904-2,1
O-01905-1,1
O-01905-2,1
O-01906-10000,2
O-01906-20000,1
O-01909-2,1
O-01909-20002,1
O-01910-1,1
O-01910-2,1
O-01910-3,1
O-01910-4,1
O-01911-1,1
O-01911-2,6
O-01912-8,1
O-01914-1,1
O-01914-2,3
O-01914-3,1
O-01914-4,1
O-01914-5,1
O-01914-6,20
O-01914-7,27
O-01914-8,1
O-01915-1,1
O-01915-2,6
O-01917-3,1
O-01917-4,1
O-01918-10000,8
O-01918-100000,-1
O-01918-110000,-1
O-01918-20000,1
O-01918-30000,1
O-01918-40000,1
O-01918-90000,-1
O-01919-10,1
O-01919-10010,1
O-01919-20010,1
O-01919-4,1
O-01920-1,1
O-01920-10008,1
O-01920-2,1
O-01920-3,2
O-01920-4,1
O-01920-5,1
O-01920-6,1
O-01920-7,1
O-01920-8,1
O-01921-3,1
O-01922-1,1
O-01922-10001,1
O-01922-20001,1
O-01922-30001,1
O-01923-1,1
O-01925-1,1
O-01925-2,1
O-01925-50002,-1
O-01925-60002,-1
O-01926-10000,3
O-01926-100000,-1
O-01926-110000,-1
O-01926-20000,1
O-01926-30000,1
O-01926-40000,1
O-01926-50000,1
O-01926-80000,-1
O-01926-90000,-1
O-01927-1,1
O-01927-2,1
O-01927-20006,-1
O-01927-3,1
O-01927-30006,-1
O-01927-4,1
O-01927-40006,-1
O-01927-50006,-1
O-01927-6,1
O-01928-1,1
O-01928-10004,1
O-01928-2,1
O-01928-3,1
O-01928-4,4
O-01928-40004,-1
O-01928-50004,-1
O-01928-60004,-1
O-01928-70004,-1
O-01929-10004,1
O-01929-4,1
O-01930-2,1
O-01930-3,1
O-01930-4,1
O-01930-6,1
O-01930-7,1
O-01930-8,1
O-01931-10000,5
O-01932-10002,1
O-01932-2,1
O-01933-1,1
O-01933-10004,1
O-01933-20004,2
O-01933-30004,1
O-01934-10006,1
O-01934-6,3
O-01936-1,1
O-01937-1,1
O-01937-10007,-1
O-01937-2,1
O-01937-20007,-1
O-01937-3,1
O-01937-30007,-1
O-01937-4,2
O-01937-40007,-1
O-01937-5,20
O-01937-6,20
O-01937-7,1
O-01939-1,1
O-01939-10007,1
O-01939-2,1
O-01939-3,34
O-01939-4,34
O-01939-5,36
O-01939-6,1
O-01939-7,1
O-01940-10004,1
O-01940-4,1
O-01941-1,1
O-01942-1,1
O-01942-10007,1
O-01942-2,1
O-01942-20007,1
O-01942-3,1
O-01942-5,1
O-01942-6,2
O-01942-7,1
O-01944-1,1
O-01944-2,1
O-01945-2,4
O-01947-1,1
O-01947-2,1
O-01947-3,2
O-01947-4,1
O-01947-5,1
O-01949-1,1
O-01949-2,1
O-01949-3,1
O-01949-5,1
O-01949-6,1
O-01950-2,1
O-01951-1,14
O-01952-1,1
O-01952-10001,1
O-01954-1,1
O-01954-10004,1
O-01954-2,2
O-01954-20004,1
O-01954-3,4
O-01954-4,1
O-01955-1,1
O-01956-1,1
O-01956-2,1
O-01956-3,1
O-01956-4,1
O-01956-5,1
O-01958-1,1
O-01958-2,1
O-01958-3,1
O-01958-4,1
O-01958-5,1
O-01958-6,1
O-01958-7,1
O-01959-1,1
O-01959-2,10
O-01959-3,1
O-01959-4,10
O-01959-5,1
O-01959-6,1
O-01961-1,1
O-01961-2,1
O-01961-3,1
O-01961-4,36
O-01961-5,14
O-01961-6,1
O-01961-7,1
O-01961-8,1
O-01962-10000,2
O-01962-20000,5
O-01962-30000,3
O-01962-40000,2
O-01963-1,1
O-01964-4,1
O-01964-7,1
O-01965-1,1
O-01966-10006,-1
O-01966-20006,-1
O-01966-3,1
O-01966-4,1
O-01966-5,1
O-01966-6,1
O-01967-1,1
O-01967-10002,1
O-01967-2,1
O-01967-20002,1
O-01969-10003,1
O-01969-3,1
O-01970-1,1
O-01970-10003,1
O-01970-20003,1
O-01970-3,1
O-01970-30003,1
O-01970-40003,1
O-01970-50003,1
O-01970-60003,1
O-01971-10002,1
O-01971-2,1
O-01972-1,1
O-01972-10005,-1
O-01972-2,1
O-01972-20005,-1
O-01972-3,1
O-01972-30005,-1
O-01972-4,2
O-01972-5,1
O-01973-1,1
O-01974-5,1
O-01975-10000,2
O-01975-20000,2
O-01976-1,2
O-01976-2,1
O-01978-10006,1
O-01978-6,12
O-01980-10000,4
O-01980-20000,3
O-01980-30000,2
O-01980-40000,1
O-01980-50000,4
O-01980-60000,4
O-01980-70000,2
O-01980-80000,2
O-01981-4,2
O-01981-5,10
O-01982-2,2
O-01983-55,1
O-01983-69,1
O-01984-11,1
O-01984-20011,1
O-01984-30011,1
O-01985-1,1
O-01985-10007,-1
O-01985-2,1
O-01985-20007,-1
O-01985-3,1
O-01985-30007,-1
O-01985-5,1
O-01985-6,1
O-01985-7,1
O-01986-10004,1
O-01986-4,1
O-01987-1,1
O-01987-10004,-1
O-01987-2,1
O-01987-20004,-1
O-01987-3,10
O-01987-4,4
O-01988-1,1
O-01988-10001,1
O-01989-1,2
O-01989-10003,1
O-01989-2,2
O-01989-3,2
O-01991-1,1
O-01991-10002,-1
O-01991-2,1
O-01991-20002,-1
O-01992-1,1
O-01992-2,12
O-01992-3,4
O-01992-4,1
O-01993-1,1
O-01993-10002,3
O-01993-2,1
O-01993-20002,1
O-01993-30002,1
O-01994-1,50
O-01995-3,5
O-01996-10,1
O-01997-2,1
O-01998-1,1
O-01998-2,1
O-01999-1,1
O-01999-2,1
O-01999-3,1
O-01999-4,1
O-01999-5,1
O-01999-6,1
O-02000-1,1
O-02000-2,1
O-02000-3,1
O-02000-6,2
O-02002-1,1
O-02002-2,1
O-02002-3,2
O-02003-1,1
O-02003-2,10
O-02003-3,5
O-02003-4,5
O-02003-5,5
O-02003-6,5
O-02003-7,20
O-02003-8,1
O-02004-1,1
O-02004-2,1
O-02004-3,1
O-02004-4,1
O-02004-5,1
O-02004-6,1
O-02005-1,1
O-02005-2,1
O-02007-1,1
O-02007-10001,1
O-02008-1,1
O-02008-10001,3
O-02009-10006,1
O-02009-2,2
O-02009-3,2
O-02009-4,1
O-02009-5,1
O-02009-6,1
O-02010-1,1
O-02010-3,1
O-02011-10004,1
O-02011-2,1
O-02011-3,1
O-02011-4,1
O-02013-1,1
O-02013-10006,1
O-02013-2,1
O-02013-6,1
O-02014-1,1
O-02014-2,1
O-02014-3,1
O-02014-4,1
O-02015-1,1
O-02015-2,1
O-02015-3,1
O-02015-4,1
O-02015-5,1
O-02017-4,2
O-02018-1,1
O-02018-2,1
O-02018-3,1
O-02018-4,1
O-02019-2,1
O-02020-1,1
O-02020-2,1
O-02020-3,1
O-02020-4,1
O-02020-5,1
O-02021-4,1
O-02022-1,2
O-02022-2,2
O-02022-3,1
O-02022-4,1
O-02024-10035,1
O-02024-34,1
O-02024-35,1
O-02025-10000,10
O-02025-20000,2
O-02025-30000,1
O-02026-1,1
O-02026-2,1
O-02026-3,1
O-02026-4,1
O-02027-1,1
O-02027-10006,1
O-02027-2,1
O-02027-3,1
O-02027-4,3
O-02027-5,1
O-02027-6,1
O-02028-1,1
O-02028-2,1
O-02028-3,1
O-02028-4,2
O-02028-5,2
O-02028-6,1
O-02028-7,1
O-02029-1,1
O-02029-10002,1
O-02029-2,1
O-02030-1,1
O-02030-10001,1
O-02031-1,1
O-02031-2,1
O-02031-4,1
O-02031-5,1
O-02032-1,6
O-02032-10,3
O-02032-10018,1
O-02032-11,20
O-02032-12,20
O-02032-13,8
O-02032-14,8
O-02032-15,10
O-02032-16,3
O-02032-17,2
O-02032-18,2
O-02032-2,10
O-02032-3,2
O-02032-4,10
O-02032-5,10
O-02032-6,5
O-02032-7,10
O-02032-8,80
O-02032-9,20
O-02035-1,3
O-02035-10001,1
O-02036-1,1
O-02036-2,2
O-02036-3,2
O-02036-4,20
O-02036-5,6
O-02036-6,1
O-02037-1,1
O-02037-2,1
O-02039-1,1
O-02039-2,1
O-02040-1,4
O-02041-1,1
O-02041-10001,1
O-02042-1,1
O-02042-10,1
O-02042-10013,1
O-02042-11,1
O-02042-12,1
O-02042-13,1
O-02042-2,1
O-02042-3,1
O-02042-4,1
O-02042-5,1
O-02042-6,1
O-02042-7,1
O-02042-8,1
O-02042-9,1
O-02043-10006,1
O-02043-6,1
O-02044-1,1
O-02044-10,1
O-02044-10010,1
O-02044-2,2
O-02044-3,2
O-02044-4,2
O-02044-5,1
O-02044-6,6
O-02044-7,2
O-02044-8,1
O-02044-9,1
O-02046-10,1
O-02046-10013,1
O-02046-11,1
O-02046-13,1
O-02046-2,1
O-02046-3,1
O-02046-7,1
O-02046-8,1
O-02046-9,1
O-02047-1,1
O-02047-2,1
O-02047-3,1
O-02047-4,1
O-02047-5,1
O-02048-1,1
O-02048-2,1
O-02049-1,1
O-02050-3,3
O-02050-4,8
O-02051-1,1
O-02051-10001,1
O-02052-2,4
O-02053-1,1
O-02053-2,1
O-02054-1,25
O-02054-10009,1
O-02054-2,50
O-02054-3,5
O-02054-4,5
O-02054-5,24
O-02054-6,24
O-02054-7,8
O-02054-8,2
O-02054-9,20
O-02055-1,1
O-02055-2,1
O-02055-3,1
O-02055-4,1
O-02055-5,2
O-02055-6,1
O-02055-7,1
O-02055-8,1
O-02057-3,3
O-02057-5,1
O-02057-7,2
O-02059-1,10
O-02060-10000,27
O-02060-20000,3
O-02060-30000,3
O-02060-40000,1
O-02060-50000,1
O-02060-60000,1
O-02061-1,4
O-02062-1,1
O-02062-10001,1
O-02063-1,1
O-02064-3,2
O-02065-1,1
O-02066-1,1
O-02068-1,1
O-02068-10001,1
O-02069-1,10
O-02070-1,2
O-02071-1,2
O-02071-10001,1
O-02072-1,1
O-02072-2,1
O-02072-3,24
O-02072-4,12
O-02072-5,1
O-02072-6,1
O-02072-7,1
O-02073-1,1
O-02073-2,1
O-02073-3,1
O-02073-4,1
O-02073-5,2
O-02074-1,1
O-02074-10005,1
O-02074-2,1
O-02074-3,1
O-02074-4,1
O-02074-5,1
