Order Number,Country,Region,Item Number,Sales Qty,Sales Amount,Order Date,Order Year,Order Qtr,Order Month,Order Week,Intercompany,Prod Segment,Product Code,Product Line,Invoice Number,Invoice Posting Date,Sales Year,Sales Qtr,Sales Month,Sales Week,Instrument Count,Order Line Key
O-09563,China,China,A2622,0,$0,2/27/2024,2024,Q1,FEB,9,Intercompany,Service,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-09563-10000
O-09563,China,China,A4426,0,$0,2/27/2024,2024,Q1,FEB,9,Intercompany,Service,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-09563-20000
O-09563,China,China,C2017,0,$0,2/27/2024,2024,Q1,FEB,9,Intercompany,Service,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-09563-210000
O-09563,China,China,C0825,0,$0,2/27/2024,2024,Q1,FEB,9,Intercompany,Service,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-09563-250000
O-09563,China,China,C1663,0,$0,2/27/2024,2024,Q1,FEB,9,Intercompany,Service,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-09563-300000
O-09563,China,China,A1122,0,$0,2/27/2024,2024,Q1,FEB,9,Intercompany,Service,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-09563-340000
O-09563,China,China,A2360,0,$0,2/27/2024,2024,Q1,FEB,9,Intercompany,Service,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-09563-380000
O-09563,China,China,A2362,0,$0,2/27/2024,2024,Q1,FEB,9,Intercompany,Service,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-09563-390000
O-09563,China,China,A4217,0,$0,2/27/2024,2024,Q1,FEB,9,Intercompany,Service,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-09563-400000
O-09563,China,China,C3817,0,$0,2/27/2024,2024,Q1,FEB,9,Intercompany,Service,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-09563-410000
O-09563,China,China,A2516,0,$0,2/27/2024,2024,Q1,FEB,9,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-09563-30000
O-09563,China,China,A4416,0,$0,2/27/2024,2024,Q1,FEB,9,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-09563-40000
O-09563,China,China,A2225,0,$0,2/27/2024,2024,Q1,FEB,9,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-09563-50000
O-09563,China,China,A2225,0,$0,2/27/2024,2024,Q1,FEB,9,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-09563-60000
O-09563,China,China,A2225,0,$0,2/27/2024,2024,Q1,FEB,9,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-09563-70000
O-09563,China,China,A2225,0,$0,2/27/2024,2024,Q1,FEB,9,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-09563-80000
O-09563,China,China,A6625,0,$0,2/27/2024,2024,Q1,FEB,9,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-09563-90000
O-09563,China,China,A6925,0,$0,2/27/2024,2024,Q1,FEB,9,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-09563-100000
O-09563,China,China,A6925,0,$0,2/27/2024,2024,Q1,FEB,9,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-09563-110000
O-09563,China,China,A6925,0,$0,2/27/2024,2024,Q1,FEB,9,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-09563-120000
O-09563,China,China,A6925,0,$0,2/27/2024,2024,Q1,FEB,9,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-09563-130000
O-09563,China,China,A3025,0,$0,2/27/2024,2024,Q1,FEB,9,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-09563-140000
O-09563,China,China,A5225,0,$0,2/27/2024,2024,Q1,FEB,9,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-09563-150000
O-09563,China,China,A6432,0,$0,2/27/2024,2024,Q1,FEB,9,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-09563-160000
O-09563,China,China,A0454,0,$0,2/27/2024,2024,Q1,FEB,9,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-09563-170000
O-09563,China,China,A4962,0,$0,2/27/2024,2024,Q1,FEB,9,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-09563-180000
O-09563,China,China,B0325,0,$0,2/27/2024,2024,Q1,FEB,9,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-09563-190000
O-09563,China,China,C3025,0,$0,2/27/2024,2024,Q1,FEB,9,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-09563-200000
O-09563,China,China,C2225,0,$0,2/27/2024,2024,Q1,FEB,9,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-09563-260000
O-09563,China,China,C2225,0,$0,2/27/2024,2024,Q1,FEB,9,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-09563-270000
O-09563,China,China,C0161,0,$0,2/27/2024,2024,Q1,FEB,9,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-09563-280000
O-09563,China,China,C0161,0,$0,2/27/2024,2024,Q1,FEB,9,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-09563-290000
O-09563,China,China,C3563,0,$0,2/27/2024,2024,Q1,FEB,9,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-09563-310000
O-09563,China,China,C0116,0,$0,2/27/2024,2024,Q1,FEB,9,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-09563-320000
O-09563,China,China,A1925,0,$0,2/27/2024,2024,Q1,FEB,9,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-09563-350000
O-09563,China,China,B0217,0,$0,2/27/2024,2024,Q1,FEB,9,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-09563-360000
O-02561,China,China,A0532,0,$0,3/1/2024,2024,Q1,MAR,10,Intercompany,Service,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-02561-10000
O-02561,China,China,C0517,0,$0,3/1/2024,2024,Q1,MAR,10,Intercompany,Service,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-02561-50000
O-02561,China,China,C0734,0,$0,3/1/2024,2024,Q1,MAR,10,Intercompany,Service,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-02561-110000
O-02561,China,China,B0162,0,$0,3/1/2024,2024,Q1,MAR,10,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-02561-30000
O-02561,China,China,C0417,0,$0,3/1/2024,2024,Q1,MAR,10,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-02561-60000
O-02561,China,China,A4125,0,$0,3/1/2024,2024,Q1,MAR,10,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-02561-70000
O-02561,China,China,A8325,0,$0,3/1/2024,2024,Q1,MAR,10,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-02561-80000
O-02561,China,China,A1225,0,$0,3/1/2024,2024,Q1,MAR,10,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-02561-90000
O-02561,China,China,C0261,0,$0,3/1/2024,2024,Q1,MAR,10,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-02561-100000
O-06721,China,China,A2622,0,$0,8/19/2024,2024,Q3,AUG,34,Intercompany,Service,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-06721-20000
O-06721,China,China,C0717,0,$0,8/19/2024,2024,Q3,AUG,34,Intercompany,Service,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-06721-380000
O-06721,China,China,A2225,0,$0,8/19/2024,2024,Q3,AUG,34,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-06721-40000
O-06721,China,China,A6525,0,$0,8/19/2024,2024,Q3,AUG,34,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-06721-50000
O-06721,China,China,A6625,0,$0,8/19/2024,2024,Q3,AUG,34,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-06721-60000
O-06721,China,China,A6625,0,$0,8/19/2024,2024,Q3,AUG,34,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-06721-70000
O-06721,China,China,A6925,0,$0,8/19/2024,2024,Q3,AUG,34,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-06721-80000
O-06721,China,China,A6925,0,$0,8/19/2024,2024,Q3,AUG,34,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-06721-90000
O-06721,China,China,A6925,0,$0,8/19/2024,2024,Q3,AUG,34,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-06721-100000
O-06721,China,China,A6925,0,$0,8/19/2024,2024,Q3,AUG,34,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-06721-110000
O-06721,China,China,A7425,0,$0,8/19/2024,2024,Q3,AUG,34,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-06721-120000
O-06721,China,China,A3025,0,$0,8/19/2024,2024,Q3,AUG,34,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-06721-130000
O-06721,China,China,A3025,0,$0,8/19/2024,2024,Q3,AUG,34,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-06721-140000
O-06721,China,China,A5225,0,$0,8/19/2024,2024,Q3,AUG,34,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-06721-150000
O-06721,China,China,A5225,0,$0,8/19/2024,2024,Q3,AUG,34,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-06721-160000
O-06721,China,China,A5325,0,$0,8/19/2024,2024,Q3,AUG,34,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-06721-170000
O-06721,China,China,A5325,0,$0,8/19/2024,2024,Q3,AUG,34,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-06721-180000
O-06721,China,China,A2427,0,$0,8/19/2024,2024,Q3,AUG,34,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-06721-190000
O-06721,China,China,A4027,0,$0,8/19/2024,2024,Q3,AUG,34,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-06721-200000
O-06721,China,China,A0432,0,$0,8/19/2024,2024,Q3,AUG,34,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-06721-210000
O-06721,China,China,A0432,0,$0,8/19/2024,2024,Q3,AUG,34,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-06721-220000
O-06721,China,China,A0232,0,$0,8/19/2024,2024,Q3,AUG,34,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-06721-230000
O-06721,China,China,A1154,0,$0,8/19/2024,2024,Q3,AUG,34,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-06721-240000
O-06721,China,China,A1254,0,$0,8/19/2024,2024,Q3,AUG,34,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-06721-250000
O-06721,China,China,A1354,0,$0,8/19/2024,2024,Q3,AUG,34,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0,O-06721-260000
