Order Number,Country,Region,Item Number,Sales Qty,Sales Amount,Order Date,Order Year,Order Qtr,Order Month,Order Week,Intercompany,Prod Segment,Product Code,Product Line,Invoice Number,Invoice Posting Date,Sales Year,Sales Qtr,Sales Month,Sales Week,Instrument Count
O-09563,China,China,A2622,0,$0,12/29/2023,2023,Q4,DEC,52,Intercompany,Service,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-09563,China,China,A4426,0,$0,12/29/2023,2023,Q4,DEC,52,Intercompany,Service,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-09563,China,China,C2017,0,$0,12/29/2023,2023,Q4,DEC,52,Intercompany,Service,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-09563,China,China,C0825,0,$0,12/29/2023,2023,Q4,DEC,52,Intercompany,Service,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-09563,China,China,C1663,0,$0,12/29/2023,2023,Q4,DEC,52,Intercompany,Service,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-09563,China,China,A1122,0,$0,12/29/2023,2023,Q4,DEC,52,Intercompany,Service,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-09563,China,China,A2360,0,$0,12/29/2023,2023,Q4,DEC,52,Intercompany,Service,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-09563,China,China,A2362,0,$0,12/29/2023,2023,Q4,DEC,52,Intercompany,Service,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-09563,China,China,A4217,0,$0,12/29/2023,2023,Q4,DEC,52,Intercompany,Service,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-09563,China,China,C3817,0,$0,12/29/2023,2023,Q4,DEC,52,Intercompany,Service,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-09563,China,China,A2516,0,$0,12/29/2023,2023,Q4,DEC,52,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-09563,China,China,A4416,0,$0,12/29/2023,2023,Q4,DEC,52,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-09563,China,China,A2225,0,$0,12/29/2023,2023,Q4,DEC,52,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-09563,China,China,A2225,0,$0,12/29/2023,2023,Q4,DEC,52,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-09563,China,China,A2225,0,$0,12/29/2023,2023,Q4,DEC,52,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-09563,China,China,A2225,0,$0,12/29/2023,2023,Q4,DEC,52,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-09563,China,China,A6625,0,$0,12/29/2023,2023,Q4,DEC,52,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-09563,China,China,A6925,0,$0,12/29/2023,2023,Q4,DEC,52,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-09563,China,China,A6925,0,$0,12/29/2023,2023,Q4,DEC,52,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-09563,China,China,A6925,0,$0,12/29/2023,2023,Q4,DEC,52,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-09563,China,China,A6925,0,$0,12/29/2023,2023,Q4,DEC,52,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-09563,China,China,A3025,0,$0,12/29/2023,2023,Q4,DEC,52,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-09563,China,China,A5225,0,$0,12/29/2023,2023,Q4,DEC,52,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-09563,China,China,A6432,0,$0,12/29/2023,2023,Q4,DEC,52,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-09563,China,China,A0454,0,$0,12/29/2023,2023,Q4,DEC,52,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-09563,China,China,A4962,0,$0,12/29/2023,2023,Q4,DEC,52,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-09563,China,China,B0325,0,$0,12/29/2023,2023,Q4,DEC,52,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-09563,China,China,C3025,0,$0,12/29/2023,2023,Q4,DEC,52,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-09563,China,China,C2225,0,$0,12/29/2023,2023,Q4,DEC,52,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-09563,China,China,C2225,0,$0,12/29/2023,2023,Q4,DEC,52,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-09563,China,China,C0161,0,$0,12/29/2023,2023,Q4,DEC,52,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-09563,China,China,C0161,0,$0,12/29/2023,2023,Q4,DEC,52,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-09563,China,China,C3563,0,$0,12/29/2023,2023,Q4,DEC,52,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-09563,China,China,C0116,0,$0,12/29/2023,2023,Q4,DEC,52,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-09563,China,China,A1925,0,$0,12/29/2023,2023,Q4,DEC,52,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-09563,China,China,B0217,0,$0,12/29/2023,2023,Q4,DEC,52,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-02561,China,China,A0532,0,$0,3/1/2024,2024,Q1,MAR,10,Intercompany,Service,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-02561,China,China,C0517,0,$0,3/1/2024,2024,Q1,MAR,10,Intercompany,Service,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-02561,China,China,C0734,0,$0,3/1/2024,2024,Q1,MAR,10,Intercompany,Service,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-02561,China,China,B0162,0,$0,3/1/2024,2024,Q1,MAR,10,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-02561,China,China,C0417,0,$0,3/1/2024,2024,Q1,MAR,10,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-02561,China,China,A4125,0,$0,3/1/2024,2024,Q1,MAR,10,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-02561,China,China,A8325,0,$0,3/1/2024,2024,Q1,MAR,10,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-02561,China,China,A1225,0,$0,3/1/2024,2024,Q1,MAR,10,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-02561,China,China,C0261,0,$0,3/1/2024,2024,Q1,MAR,10,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-06721,China,China,A2622,0,$0,8/19/2024,2024,Q3,AUG,34,Intercompany,Service,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-06721,China,China,C0717,0,$0,8/19/2024,2024,Q3,AUG,34,Intercompany,Service,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-06721,China,China,A2225,0,$0,8/19/2024,2024,Q3,AUG,34,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-06721,China,China,A6525,0,$0,8/19/2024,2024,Q3,AUG,34,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-06721,China,China,A6625,0,$0,8/19/2024,2024,Q3,AUG,34,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-06721,China,China,A6625,0,$0,8/19/2024,2024,Q3,AUG,34,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-06721,China,China,A6925,0,$0,8/19/2024,2024,Q3,AUG,34,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-06721,China,China,A6925,0,$0,8/19/2024,2024,Q3,AUG,34,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-06721,China,China,A6925,0,$0,8/19/2024,2024,Q3,AUG,34,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-06721,China,China,A6925,0,$0,8/19/2024,2024,Q3,AUG,34,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-06721,China,China,A7425,0,$0,8/19/2024,2024,Q3,AUG,34,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-06721,China,China,A3025,0,$0,8/19/2024,2024,Q3,AUG,34,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-06721,China,China,A3025,0,$0,8/19/2024,2024,Q3,AUG,34,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-06721,China,China,A5225,0,$0,8/19/2024,2024,Q3,AUG,34,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-06721,China,China,A5225,0,$0,8/19/2024,2024,Q3,AUG,34,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
O-06721,China,China,A5325,0,$0,8/19/2024,2024,Q3,AUG,34,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,,,,,,,0
