Order Number,Country Code,Country,Region,Item Number,Sales Qty,Sales Amount,Order Date,Order Week,Intercompany,Prod Segment,Product Code,Product Line,Invoice Number,Invoice Posting Date,Instrument Count
O-09754,CN,China,China,A2116,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A3016,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,B0225,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,B0225,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,B0225,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C4325,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C2525,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C2525,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C2525,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C2525,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C0761,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C1162,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C1162,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A2116,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A3316,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A3624,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
