SelltoCustomerNo_,No_,OnHold,Gen_Bus_PostingGroup,SelltoCustomerName,SelltoCountryRegionCode,c004_Instrument_Count,ColorStatusTxt
C-1111,O-01095,,SERVICE,,US,0,
C-5616,O-01223,HFT,CUSTOMER,,CN,1,
C-1838,O-01421,,CUSTOMER,,US,0,
C-0633,O-01460,,CUSTOMER,,US,0,
C-6535,O-01471,,CUSTOMER,,US,0,
C-4525,O-01559,HFT,CUSTOMER,,AR,1,
C-3313,O-01779,,DISTRIBUTOR,,CN,0,
C-8175,O-01916,ADM,CUSTOMER,,DE,1,
C-0860,O-01938,,WAR-PRT,,JP,0,
C-7972,O-01939,,DISTRIBUTOR,,CL,0,
C-4563,O-01940,,CUSTOMER,,US,0,
C-1276,O-01999,,SUB-CHI,,US,0,
C-8244,O-02050,,CUSTOMER,,US,0,
C-2743,O-02067,,SUB-UK,,GB,0,
C-6535,O-02108,,CUSTOMER,,US,0,
C-1111,O-02134,,SERVICE,,US,0,
C-3734,O-02346,,SUB-FRA,,IL,0,
C-0917,O-02474,,SUB-FRA,,FR,0,
C-3975,O-02487,,CUSTOMER,,US,0,
C-6386,O-02488,,SUPPLIER,,US,0,
C-0125,O-02489,,CUSTOMER,,US,0,
C-1825,O-02545,,CUSTOMER,,US,0,
C-0097,O-02561,,SUB-CHI,,CN,0,
C-6917,O-02592,,DISTRIBUTOR,,ES,0,
C-2175,O-02599,,SUB-GER,,US,0,
C-6386,O-02638,,SUPPLIER,,US,0,
C-8138,O-02697,,DISTRIBUTOR,,US,0,
C-7374,O-02717,,CUSTOMER,,US,1,
C-4117,O-02829,,SUB-GER,,US,0,
C-9335,O-02885,,CUSTOMER,,US,0,
C-9275,O-02887,HFT,DISTRIBUTOR,,US,1,
C-5853,O-02915,,CUSTOMER,,US,0,
C-7868,O-02929,,SUB-KOR,,US,0,
C-7868,O-02946,,SUB-KOR,,CN,0,
C-1276,O-02949,,SUB-CHI,,CN,0,
C-8228,O-02972,,CUSTOMER,,US,0,
C-4526,O-03060,HFT,CUSTOMER,,IN,1,
C-2925,O-03130,,CUSTOMER,,CN,0,
C-2666,O-03200,ADM,CUSTOMER,,US,0,
C-6386,O-03205,,SUPPLIER,,US,0,
C-8038,O-03239,,DISTRIBUTOR,,IT,0,
,O-03277,,,,IT,0,
C-0327,O-03284,,CUSTOMER,,AE,1,
C-9134,O-03287,ADM,SUB-NET,,US,0,
C-0727,O-03303,,CUSTOMER,,US,1,
C-0827,O-03305,,CUSTOMER,,US,1,
C-1427,O-03325,ADM,SUB-KOR,,KR,4,
C-3834,O-03327,,DISTRIBUTOR,,CN,0,
C-1527,O-03329,HFT,CUSTOMER,,CN,1,
C-4963,O-03442,,CUSTOMER,,US,0,
C-2235,O-03450,,CUSTOMER,,US,0,
C-6516,O-03624,,SUB-NET,,US,0,
C-8755,O-03635,,CUSTOMER,,CN,0,
,O-03832,,,,US,0,
C-8571,O-03835,,SUB-CHI,,US,0,
C-2082,O-03862,,CUSTOMER,,ES,0,
C-2274,O-03881,,CUSTOMER,,US,0,
C-5460,O-03892,,CUSTOMER,,US,1,
C-6228,O-04014,,CUSTOMER,,CN,1,
C-5596,O-04154,,CUSTOMER,,US,1,
C-3161,O-04159,,CUSTOMER,,US,0,
C-5358,O-04161,,DISTRIBUTOR,,BR,0,
C-3834,O-04180,,DISTRIBUTOR,,US,0,
C-5986,O-04313,,CUSTOMER,,US,0,
C-2748,O-04328,,DISTRIBUTOR,,US,0,
C-2698,O-04377,,CUSTOMER,,US,0,
C-4329,O-04431,,CUSTOMER,,CN,2,
C-6429,O-04524,,CUSTOMER,,US,1,
C-2175,O-04563,,SUB-GER,,DE,0,
C-8571,O-04742,,SUB-CHI,,US,0,
C-0830,O-04758,,CUSTOMER,,US,0,
C-1737,O-04763,,CUSTOMER,,US,0,
C-6429,O-04839,,CUSTOMER,,US,0,
C-8776,O-04873,,DISTRIBUTOR,,IN,0,
C-7939,O-04886,,CUSTOMER,,US,1,
C-6030,O-04968,,DISTRIBUTOR,,KZ,1,Green
C-0860,O-04992,,WAR-PRT,,JP,0,
,O-05014,,,,US,0,
,O-05015,,,,US,0,
C-1561,O-05077,,CUSTOMER,,US,0,
C-5262,O-05092,,WAR-PRT,,ID,0,
C-0763,O-05107,,CUSTOMER,,RO,0,
C-2086,O-05108,,SUB-GER,,AT,2,
C-5953,O-05116,,CUSTOMER,,US,0,
C-0531,O-05130,,SUB-FT,,GB,0,
C-1357,O-05170,,CUSTOMER,,US,0,
C-0631,O-05181,,DISTRIBUTOR,,US,0,
C-4393,O-05205,,CUSTOMER,,US,0,
C-1631,O-05214,ADM,CUSTOMER,,CA,1,
C-2031,O-05223,HFT,CUSTOMER,,CN,1,
C-1365,O-05246,,CUSTOMER,,US,0,
C-1334,O-05248,HFT,CUSTOMER,,US,1,
C-0729,O-05271,,SUB-GER,,US,0,
C-9311,O-05275,,SUB-CHI,,US,2,
C-2443,O-05290,,CUSTOMER,,US,0,
C-4531,O-05302,CMP,CUSTOMER,,CN,1,
C-4531,O-05303,,CUSTOMER,,US,0,
C-5031,O-05353,ADM,SUB-KOR,,KR,1,
C-8112,O-05370,,DISTRIBUTOR,,MX,1,
C-5831,O-05373,HFT,CUSTOMER,,IN,1,Green
C-7329,O-05374,ADM,SUB-GER,,DE,1,
C-9925,O-05383,,SUPPLIER,,US,0,
C-6597,O-05404,,SUB-CHI,,CN,1,
C-7331,O-05425,HFT,CUSTOMER,,CN,3,
C-7420,O-05437,,SUB-KOR,,KR,1,
C-5722,O-05449,,CUSTOMER,,US,0,
C-8331,O-05460,HFT,CUSTOMER,,CN,1,
C-8731,O-05463,HFT,CUSTOMER,,CN,1,Blue
C-8731,O-05465,HFT,CUSTOMER,,CN,0,
C-8931,O-05467,HFT,CUSTOMER,,CN,1,
C-0097,O-05527,,CUSTOMER,,CN,0,
C-5994,O-05537,,CUSTOMER,,CN,2,
C-4461,O-05551,,CUSTOMER,,US,0,
C-0832,O-05572,HFT,CUSTOMER,,CN,1,
C-6512,O-05578,,CUSTOMER,,KR,0,
C-1032,O-05580,ADM,SUB-KOR,,KR,2,
,O-05581,,,,KR,0,
C-1932,O-05592,HFT,CUSTOMER,,CN,1,
C-0919,O-05635,,CUSTOMER,,US,1,
C-5661,O-05668,,CUSTOMER,,US,0,
,O-05699,,,,GB,0,
,O-05701,,,,GB,0,
C-9076,O-05704,,DISTRIBUTOR,,CZ,0,
C-7779,O-05712,,CUSTOMER,,BE,0,
,O-05715,,,,JP,0,
C-1924,O-05722,,CUSTOMER,,TW,0,
C-2810,O-05733,,CUSTOMER,,NL,0,
C-9134,O-05757,,CRTSY,,NL,0,
,O-05767,,,,JP,0,
C-6432,O-05845,ADM,SUB-FRA,,FR,0,
C-6757,O-05851,,CUSTOMER,,US,0,
C-9057,O-05859,,CUSTOMER,,US,1,
C-3413,O-05873,,DISTRIBUTOR,,DE,0,
C-5779,O-05878,,SUB-CHI,,CN,0,
C-4086,O-05880,,DISTRIBUTOR,,US,1,
C-9585,O-05885,,DISTRIBUTOR,,US,0,
C-7432,O-05900,,CUSTOMER,,IN,3,
C-8661,O-05986,,SUPPLIER,,CN,0,
,O-05994,,,,JP,0,
C-9032,O-06004,HFT,CUSTOMER,,IN,2,
,O-06029,,,,JP,0,
C-1496,O-06040,,SUB-NET,,NL,0,
,O-06095,,,,JP,0,
C-1287,O-06096,,SUB-FRA,,ID,0,
C-2287,O-06136,,CUSTOMER,,US,0,
C-1110,O-06137,,SUB-NET,,US,0,
C-5362,O-06167,,CUSTOMER,,KR,0,
C-6540,O-06180,,CUSTOMER,,KR,0,
C-0574,O-06181,HFT,DISTRIBUTOR,,TR,0,
C-5922,O-06196,,DISTRIBUTOR,,US,0,
C-3833,O-06204,HFT,CUSTOMER,,US,0,
C-6386,O-06206,,SUPPLIER,,US,0,
C-4633,O-06222,ADM,DISTRIBUTOR,,TH,1,Green
C-0214,O-06241,,CUSTOMER,,CH,0,
C-0827,O-06258,,CUSTOMER,,US,0,
C-6633,O-06331,,CUSTOMER,,US,1,
C-6247,O-06332,,CUSTOMER,,US,1,
C-7133,O-06350,,CUSTOMER,,US,2,Blue
C-5696,O-06353,,CUSTOMER,,CN,1,
,O-06359,,,,GB,0,
,O-06361,,,,GB,0,
,O-06365,,,,GB,0,
C-7633,O-06371,,CUSTOMER,,EG,0,
C-4593,O-06374,,CUSTOMER,,SA,0,
C-7868,O-06380,,SUB-KOR,,CN,0,
C-2748,O-06396,,DISTRIBUTOR,,US,0,
,O-06411,,,,GB,0,
C-8533,O-06417,,CUSTOMER,,PL,0,
,O-06418,,,,GB,0,
,O-06461,,,,GB,0,
,O-06462,,,,GB,0,
,O-06477,,,,AU,0,
C-8673,O-06651,HFT,DISTRIBUTOR,,TR,0,
C-3134,O-06673,,CUSTOMER,,IN,1,Green
C-5851,O-06694,,CUSTOMER,,CN,0,
C-0551,O-06714,,CUSTOMER,,US,0,
