no,description,standardCost,qtyonPurchOrder,qtyonSalesOrder,replenishmentSystem,itemCategoryCode,Qty_onServiceOrder,c011_Consumable,qtyonProdOrder,qtyonComponentLines
A0020,Class A #20,0,0,-35,Prod. Order,XXX,0,TRUE,0,0
A0028,Class A #28,0,0,0,Prod. Order,XXX,0,TRUE,0,0
A0033,Class A #33,0,0,0,Prod. Order,XXX,0,TRUE,0,0
A0038,Class A #38,0,0,0,Prod. Order,XXX,0,TRUE,0,0
A0046,Class A #46,0,0,61,Prod. Order,XXX,0,TRUE,0,0
A0047,Class A #47,0,0,0,Prod. Order,XXX,0,TRUE,0,0
A0054,Class A #54,0,0,0,Prod. Order,XXX,0,TRUE,0,0
A0062,Class A #62,0,0,4,Prod. Order,XXX,0,TRUE,0,0
A0109,Class A #109,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A0116,Class A #116,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A0122,Class A #122,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A0125,Class A #125,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A0129,Class A #129,0,0,4,Prod. Order,XXX,0,FALSE,0,0
A0133,Class A #133,0,0,1,Prod. Order,XXX,0,FALSE,0,0
A0146,Class A #146,0,0,2,Prod. Order,XXX,0,FALSE,0,0
A0154,Class A #154,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A0160,Class A #160,0,0,32,Prod. Order,XXX,0,FALSE,0,0
A0161,Class A #161,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A0162,Class A #162,0,0,-1,Prod. Order,XXX,0,FALSE,0,0
A0163,Class A #163,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A0216,Class A #216,0,0,5,Prod. Order,XXX,0,FALSE,0,0
A0225,Class A #225,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A0227,Class A #227,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A0228,Class A #228,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A0232,Class A #232,0,0,16,Prod. Order,XXX,0,FALSE,0,0
A0233,Class A #233,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A0240,Class A #240,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A0258,Class A #258,0,0,1,Prod. Order,XXX,0,FALSE,0,0
A0261,Class A #261,0,0,1,Prod. Order,XXX,0,FALSE,0,0
A0262,Class A #262,0,0,-1,Prod. Order,XXX,0,FALSE,0,0
A0316,Class A #316,0,0,9,Prod. Order,XXX,0,FALSE,0,0
A0325,Class A #325,0,0,2,Prod. Order,XXX,0,FALSE,0,0
A0327,Class A #327,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A0333,Class A #333,0,0,1,Prod. Order,XXX,0,FALSE,0,0
A0346,Class A #346,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A0416,Class A #416,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A0425,Class A #425,0,0,2,Prod. Order,XXX,0,FALSE,0,0
A0432,Class A #432,0,0,84,Prod. Order,XXX,0,FALSE,0,0
A0433,Class A #433,0,0,1,Prod. Order,XXX,0,FALSE,0,0
A0454,Class A #454,0,0,43,Prod. Order,XXX,0,FALSE,0,0
A0460,Class A #460,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A0461,Class A #461,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A0462,Class A #462,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A0509,Class A #509,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A0516,Class A #516,0,0,6,Prod. Order,XXX,0,FALSE,0,0
A0525,Class A #525,0,0,15,Prod. Order,XXX,0,FALSE,0,0
A0528,Class A #528,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A0532,Class A #532,0,0,8,Prod. Order,XXX,0,FALSE,0,0
A0554,Class A #554,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A0560,Class A #560,0,0,1,Prod. Order,XXX,0,FALSE,0,0
A0561,Class A #561,0,0,1,Prod. Order,XXX,0,FALSE,0,0
A0562,Class A #562,0,0,1,Prod. Order,XXX,0,FALSE,0,0
A0563,Class A #563,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A0609,Class A #609,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A0622,Class A #622,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A0625,Class A #625,0,0,42,Prod. Order,XXX,0,FALSE,0,0
A0628,Class A #628,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A0655,Class A #655,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A0663,Class A #663,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A0716,Class A #716,0,0,1,Prod. Order,XXX,0,FALSE,0,0
A0725,Class A #725,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A0732,Class A #732,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A0760,Class A #760,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A0809,Class A #809,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A0825,Class A #825,0,0,2,Prod. Order,XXX,0,FALSE,0,0
A0851,Class A #851,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A0860,Class A #860,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A0925,Class A #925,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A0927,Class A #927,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A0932,Class A #932,0,0,2,Prod. Order,XXX,0,FALSE,0,0
A0942,Class A #942,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A0954,Class A #954,0,0,14,Prod. Order,XXX,0,FALSE,0,0
A0962,Class A #962,0,0,1,Prod. Order,XXX,0,FALSE,0,0
A1022,Class A #1022,0,0,0,Prod. Order,XXX,0,TRUE,0,0
A1025,Class A #1025,0,0,3,Prod. Order,XXX,0,TRUE,0,0
A1028,Class A #1028,0,0,0,Prod. Order,XXX,0,TRUE,0,0
A1032,Class A #1032,0,0,0,Prod. Order,XXX,0,TRUE,0,0
A1063,Class A #1063,0,0,0,Prod. Order,XXX,0,TRUE,0,0
A1116,Class A #1116,0,0,3,Prod. Order,XXX,0,FALSE,0,0
A1122,Class A #1122,0,0,8,Prod. Order,XXX,0,FALSE,0,0
A1125,Class A #1125,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A1128,Class A #1128,0,0,2,Prod. Order,XXX,0,FALSE,0,0
A1151,Class A #1151,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A1154,Class A #1154,0,0,4,Prod. Order,XXX,0,FALSE,0,0
A1162,Class A #1162,0,0,3,Prod. Order,XXX,0,FALSE,0,0
A1163,Class A #1163,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A1225,Class A #1225,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A1227,Class A #1227,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A1254,Class A #1254,0,0,-2,Prod. Order,XXX,0,FALSE,0,0
A1263,Class A #1263,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A1316,Class A #1316,0,0,2,Prod. Order,XXX,0,FALSE,0,0
A1325,Class A #1325,0,0,80,Prod. Order,XXX,0,FALSE,0,0
A1327,Class A #1327,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A1332,Class A #1332,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A1354,Class A #1354,0,0,16,Prod. Order,XXX,0,FALSE,0,0
A1362,Class A #1362,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A1363,Class A #1363,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A1416,Class A #1416,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A1425,Class A #1425,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A1432,Class A #1432,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A1462,Class A #1462,0,0,1,Prod. Order,XXX,0,FALSE,0,0
A1525,Class A #1525,0,0,1,Prod. Order,XXX,0,FALSE,0,0
A1527,Class A #1527,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A1528,Class A #1528,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A1542,Class A #1542,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A1616,Class A #1616,0,0,2,Prod. Order,XXX,0,FALSE,0,0
A1625,Class A #1625,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A1655,Class A #1655,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A1661,Class A #1661,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A1662,Class A #1662,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A1722,Class A #1722,0,0,27,Prod. Order,XXX,0,FALSE,0,0
A1725,Class A #1725,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A1728,Class A #1728,0,0,2,Prod. Order,XXX,0,FALSE,0,0
A1755,Class A #1755,0,0,1,Prod. Order,XXX,0,FALSE,0,0
A1761,Class A #1761,0,0,1,Prod. Order,XXX,0,FALSE,0,0
A1762,Class A #1762,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A1825,Class A #1825,0,0,10,Prod. Order,XXX,0,FALSE,0,0
A1854,Class A #1854,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A1925,Class A #1925,0,0,18,Prod. Order,XXX,0,FALSE,0,0
A1928,Class A #1928,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A2014,Class A #2014,0,0,0,Prod. Order,XXX,0,TRUE,0,0
A2022,Class A #2022,0,0,-1,Prod. Order,XXX,0,TRUE,0,0
A2027,Class A #2027,0,0,2,Prod. Order,XXX,0,TRUE,0,0
A2116,Class A #2116,0,0,7,Prod. Order,XXX,0,FALSE,0,0
A2127,Class A #2127,0,0,2,Prod. Order,XXX,0,FALSE,0,0
A2155,Class A #2155,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A2161,Class A #2161,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A2163,Class A #2163,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A2209,Class A #2209,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A2216,Class A #2216,0,0,-2,Prod. Order,XXX,0,FALSE,0,0
A2222,Class A #2222,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A2225,Class A #2225,0,0,141,Prod. Order,XXX,0,FALSE,0,0
A2227,Class A #2227,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A2228,Class A #2228,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A2255,Class A #2255,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A2260,Class A #2260,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A2262,Class A #2262,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A2309,Class A #2309,0,0,0,Prod. Order,XXX,0,FALSE,0,0
