SolaCorp Hot Orders Table,,,,,,,,
Paste in build order,,,,,,Leave blank to use build order,,Rank should be in build order
Order Number,Item Number,Order_Item,Product Group,Actual Order Date,Original Rank,Before Order,New Order Date,New Rank
,,,,,,,,
O35085,IDIS460,O35085_IDIS460,Crockpots/Cookers,9/8/2023,641,,1/1/2022,1
O35625,I350610,O35625_I350610,Crockpots/Cookers,6/20/2023,575,,1/2/2022,11
O37845,I350610,O37845_I350610,Crockpots/Cookers,10/11/2023,699,,1/3/2022,15
O43335,I293617,O43335_I293617,Crockpots/Cookers,10/19/2023,718,,1/4/2022,18
O44715,I201258,O44715_I201258,Crockpots/Cookers,4/18/2023,530,,1/5/2022,19
,,,,,,,,
,,,,,,,,
,,,,,,,,
O41685,I295258,O41685_I295258,Electronic Ovens,10/9/2022,101,,1/10/2022,16
O42705,I920160,O42705_I920160,Electronic Ovens,11/5/2022,143,,1/11/2022,28
O32865,I920160,O32865_I920160,Electronic Ovens,5/19/2023,418,,1/12/2022,30
O34125,I292460,O34125_I292460,Electronic Ovens,5/15/2023,416,,1/13/2022,32
,,,,,,,,
,,,,,,,,
O42885,I292000,O42885_I292000,Fryers,11/8/2022,26,,4/30/2021,1
,,,,,,,,
,,,,,,,,
O43245,I350336,O43245_I350336,Grills/Griddles,9/15/2022,250,,6/15/2021,2
O44055,I302610,O44055_I302610,Grills/Griddles,10/2/2023,1002,,6/16/2021,14
O44145,I350000,O44145_I350000,Grills/Griddles,4/4/2022,161,,6/17/2021,15
O44385,I350258,O44385_I350258,Grills/Griddles,2/10/2023,718,,6/18/2021,20
O44445,I303258,O44445_I303258,Grills/Griddles,1/11/2022,28,,6/19/2021,21
,,,,,,,,
,,,,,,,,
O43785,I920617,O43785_I920617,Ovens,3/27/2023,529,,2/25/2021,10
O37125,I962000,O37125_I962000,Ovens,6/24/2023,643,,2/26/2021,12
O40215,I962000,O40215_I962000,Ovens,9/3/2022,135,,2/27/2021,13
O42615,IFT4330,O42615_IFT4330,Ovens,12/31/2022,340,,2/28/2021,15
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
